Author,Name,Release Date,ID,Model Card,Provider Terms,Input Modalities,Output Modalities,EOL Date,Data Retention Period (Days),Data Used To Train Models?,Inference Regions,Release Status,Stack Version
Jina,Embeddings v5 Text Small,2026-02-18,jina-embeddings-v5-text-small,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,US,Generally Available,9.3
Jina,Embeddings v5 Text Nano,2026-02-18,jina-embeddings-v5-text-nano,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,US,Generally Available,9.3
Elastic,ELSER v2,2023-11-14,elser_model_2,[ELSER docs](https://www.elastic.co/docs/explore-analyze/machine-learning/nlp/ml-nlp-elser),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,US,Generally Available,9.1
Jina,Embeddings v3,2024-09-18,jina-embeddings-v3,[jina-embeddings-v3](https://jina.ai/models/jina-embeddings-v3/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,US,Generally Available,9.3
Google,Gemini Embedding 001,2025-07-14,google-gemini-embedding-001,[Gemini Embedding 001](https://deepmind.google/research/publications/157741/),[Google terms](https://cloud.google.com/terms),Text,Text,,55 days,No,US,Generally Available,9.3
OpenAI,Text Embedding 003 Large,2024-01-25,openai-text-embedding-3-large,[Text Embedding 003 Large](https://platform.openai.com/docs/models/text-embedding-3-large),[OpenAI terms](https://openai.com/en-GB/policies/row-terms-of-use/),Text,Text,,Unknown,No,US,Generally Available,9.3
OpenAI,Text Embedding 003 Small,2024-01-25,openai-text-embedding-3-small,[Text Embedding 003 Small](https://platform.openai.com/docs/models/text-embedding-3-small),[OpenAI terms](https://openai.com/en-GB/policies/row-terms-of-use/),Text,Text,,Unknown,No,US,Generally Available,9.3
