Name,Technique,Rule Type,Severity,Source
Multiple Elastic Defend Alerts from a Single Process Tree,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_edr_elastic_same_process_tree.toml)
Multiple External EDR Alerts by Host,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_external_edr_alerts_by_host.toml)
Multiple Machine Learning Alerts by Influencer Field,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_machine_learning_jobs_by_entity.toml)
Multiple Rare Elastic Defend Behavior Rules by Host,,ES|QL,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_elastic_defend_behavior_rules_same_host_prevalence.toml)
Multiple Vulnerabilities by Asset via Wiz,,ES|QL,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_vulnerabilities_wiz_by_container.toml)
My First Rule,,Threshold,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/guided_onboarding_sample_rule.toml)
Newly Observed Elastic Defend Behavior Alert,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/newly_observed_elastic_defend_alert.toml)
Newly Observed FortiGate Alert,,ES|QL,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/newly_observed_fortigate_alert.toml)
Newly Observed High Severity Detection Alert,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/newly_observed_elastic_detection_rule.toml)
Newly Observed High Severity Suricata Alert,,ES|QL,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/newly_observed_suricata_alert.toml)
Newly Observed Palo Alto Network Alert,,ES|QL,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/newly_observed_panos_alert.toml)
Okta ThreatInsight Threat Suspected Promotion,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/okta/okta_threatinsight_threat_suspected_promotion.toml)
Parent Process PID Spoofing,,EQL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/defense_evasion_parent_process_pid_spoofing.toml)
Potential Abuse of Resources by High Token Count and Large Response Sizes,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_high_resource_consumption_detection.toml)
Potential Azure OpenAI Model Theft,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure_openai/azure_openai_model_theft_detection.toml)
Potential Denial of Azure OpenAI ML Service,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure_openai/azure_openai_denial_of_ml_service_detection.toml)
Ransomware - Detected - Elastic Endgame,,Custom Query,Critical,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/endgame_ransomware_detected.toml)
Ransomware - Prevented - Elastic Endgame,,Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/endgame_ransomware_prevented.toml)
Rapid7 Threat Command CVEs Correlation,,Indicator Match,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/threat_intel/threat_intel_rapid7_threat_command.toml)
SentinelOne Alert External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/sentinelone_alert_external_alerts.toml)
SentinelOne Threat External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/sentinelone_threat_external_alerts.toml)
Splunk External Alerts,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/promotions/splunk_external_alerts.toml)
Suspected Lateral Movement from Compromised Host,,ES|QL,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/cross-platform/multiple_alerts_by_host_ip_and_source_ip.toml)
Threat Intel Email Indicator Match,,Indicator Match,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/threat_intel/threat_intel_indicator_match_email.toml)
Threat Intel Hash Indicator Match,,Indicator Match,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/threat_intel/threat_intel_indicator_match_hash.toml)
Threat Intel IP Address Indicator Match,,Indicator Match,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/threat_intel/threat_intel_indicator_match_address.toml)
Threat Intel URL Indicator Match,,Indicator Match,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/threat_intel/threat_intel_indicator_match_url.toml)
Threat Intel Windows Registry Indicator Match,,Indicator Match,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/threat_intel/threat_intel_indicator_match_registry.toml)
Unusual High Confidence Content Filter Blocks Detected,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_high_confidence_misconduct_blocks_detected.toml)
Unusual High Denied Sensitive Information Policy Blocks Detected,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_multiple_sensitive_information_policy_blocks_detected.toml)
Unusual High Denied Topic Blocks Detected,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_multiple_topic_policy_blocks_detected.toml)
Unusual High Word Policy Blocks Detected,,ES|QL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws_bedrock/aws_bedrock_multiple_word_policy_blocks_detected.toml)
Web Application Suspicious Activity: POST Request Declined,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/apm/apm_403_response_to_a_post.toml)
Web Application Suspicious Activity: Unauthorized Method,,Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/apm/apm_405_response_method_not_allowed.toml)
WMI Incoming Lateral Movement,,EQL,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/windows/lateral_movement_incoming_wmi.toml)
