Name,Technique,Rule Type,Severity,Source,Guide
Anomalous Linux Compiler Activity,"T1588, T1588.001",Machine Learning,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/ml/resource_development_ml_linux_anomalous_compiler_activity.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/resource-development-ml-linux-anomalous-compiler-activity.md)
AWS Route 53 Domain Transfer Lock Disabled,"T1098, T1584, T1584.001",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_route_53_domain_transfer_lock_disabled.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-route-53-domain-transfer-lock-disabled.md)
AWS Route 53 Domain Transferred to Another Account,"T1098, T1584, T1584.001",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_route_53_domain_transferred_to_another_account.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-route-53-domain-transferred-to-another-account.md)
AWS Route 53 Private Hosted Zone Associated With a VPC,"T1098, T1583, T1583.001",Custom Query,Medium,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/persistence_route_53_hosted_zone_associated_with_a_vpc.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-route-53-hosted-zone-associated-with-a-vpc.md)
AWS SNS Topic Created by Rare User,"T1496, T1496.004, T1608",New Terms,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/aws/resource_development_sns_topic_created_by_rare_user.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/resource-development-sns-topic-created-by-rare-user.md)
Azure Automation Webhook Created,"T1546, T1608",Custom Query,Low,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/azure/persistence_automation_webhook_created.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/persistence-automation-webhook-created.md)
M365 OneDrive Malware File Upload,"T1080, T1608, T1608.001",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/lateral_movement_onedrive_malware_uploaded.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/lateral-movement-onedrive-malware-uploaded.md)
M365 SharePoint Malware File Detected,"T1080, T1608, T1608.001",Custom Query,High,[GitHub ↗](https://github.com/elastic/detection-rules/blob/main/rules/integrations/o365/lateral_movement_sharepoint_malware_uploaded.toml),[Guide](/solutions/security/detect-and-alert/prebuilt-rule-guides/lateral-movement-sharepoint-malware-uploaded.md)
